2026-05-18 03:10:39 hide_called reason='main_window_hide_call' collapsed=False state=None last_reader='' last_hwnd=None focus_guard_suspended_for='0.000' stack='main_window.py:107:__init__ > main_window.py:1084:reset_session_state > main_window.py:285:_hide_mini_overlay > mini_overlay.py:393:hide_with_reason' fg_hwnd=263788 fg_class='ConsoleWindowClass' fg_title='명령 프롬프트 - python  main.py'
2026-05-18 03:10:39 hide_called reason='main_window_hide_call' collapsed=False state=None last_reader='' last_hwnd=None focus_guard_suspended_for='0.000' stack='main_window.py:179:start > main_window.py:1084:reset_session_state > main_window.py:285:_hide_mini_overlay > mini_overlay.py:393:hide_with_reason' fg_hwnd=263788 fg_class='ConsoleWindowClass' fg_title='명령 프롬프트 - python  main.py'
2026-05-18 03:11:24 focus_guard_skip_suspended remaining='0.028' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:24 focus_guard_skip_suspended remaining='4.941' state=('selected', 'word_selection', 67422) fg_hwnd=9177346 fg_class='Qt5152QWindowToolSaveBits' fg_title='Writing Assistant Mini'
2026-05-18 03:11:27 show_near_cursor window_handle=67422 collapsed=False state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:27 focus_guard_skip_suspended remaining='2.859' state=('waiting', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:27 show_near_cursor window_handle=67422 collapsed=False state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:27 focus_guard_skip_suspended remaining='2.749' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:27 focus_guard_skip_suspended remaining='2.604' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:27 focus_guard_skip_suspended remaining='2.563' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:28 focus_guard_skip_suspended remaining='2.469' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:28 focus_guard_skip_suspended remaining='2.340' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:28 focus_guard_skip_suspended remaining='2.221' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:28 focus_guard_skip_suspended remaining='2.184' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
2026-05-18 03:11:28 focus_guard_skip_suspended remaining='2.058' state=('selected', 'word_selection', 67422) fg_hwnd=67422 fg_class='OpusApp' fg_title='김승현  -  호환성 모드 - Word'
